자치구,소계,CCTV증가율,세대,전체인구,한국인,외국인,세대당인구,고령자,외국인비율,고령자비율
강남구,5221,168.56995884773661,232115,549043,544028,5015,2.34,70029,0.9134075108871255,12.75473869988325
강동구,1879,520.1320132013201,178969,430522,426219,4303,2.38,61710,0.999484346909101,14.333762269988526
강북구,1265,420.57613168724276,143680,317875,314090,3785,2.19,59808,1.1907196224931182,18.81494298073142
강서구,1617,638.3561643835616,262108,600240,593708,6532,2.27,82937,1.08823137411702,13.817306410769026
관악구,3985,826.7441860465116,268226,519953,502117,17836,1.87,74518,3.430310047254271,14.331679978767312
광진구,1581,236.38297872340422,164173,368337,352692,15645,2.15,47347,4.247469029720066,12.854261179300478
구로구,3227,278.75586854460096,175844,439850,406748,33102,2.31,64952,7.5257474138911,14.766852336023645
금천구,1634,5951.851851851852,110072,252868,233371,19497,2.12,37191,7.71034690035908,14.707673568818514
노원구,1906,296.25779625779626,217058,539829,535282,4547,2.47,79968,0.8423037665631153,14.81357985584324
도봉구,858,335.53299492385787,138603,337594,335280,2314,2.42,58070,0.6854387222521727,17.20113509126347
동대문구,2003,,163606,363779,346551,17228,2.12,58764,4.735842365832003,16.15376368619409
동작구,1780,647.8991596638656,180841,410487,397618,12869,2.2,61607,3.1350566522204115,15.008270663869988
마포구,1935,230.76923076923075,174181,385605,373629,11976,2.15,51961,3.1057688567316295,13.475188340400152
서대문구,2121,275.39823008849555,140007,324089,310069,14020,2.21,51708,4.325972186652431,15.954876592540938
서초구,2835,141.89419795221843,173215,435258,431027,4231,2.49,56455,0.9720671417871699,12.970468090190185
성동구,2679,302.85714285714283,136466,311290,303158,8132,2.22,43662,2.612355038709885,14.026149249895594
성북구,3003,285.49422336328627,191465,454114,441590,12524,2.31,70204,2.7578977965885216,15.459554208855044
송파구,1586,164.33333333333334,278340,684338,677489,6849,2.43,86062,1.0008212316136178,12.575949311597483
양천구,2775,259.45595854922277,177339,463931,459849,4082,2.59,60487,0.8798722223778968,13.03793020944925
영등포구,2495,1790.1515151515152,174309,402478,368402,34076,2.11,57350,8.46654972445699,14.249226044653373
용산구,2063,61.29788897576232,109911,244989,228830,16159,2.08,38531,6.595806342325574,15.72764491466964
은평구,2962,116.996336996337,207410,486159,481663,4496,2.32,79957,0.9248003225282263,16.44667691022896
종로구,1471,18287.5,73942,162860,151767,11093,2.05,27394,6.81137173032052,16.820582095050966
중구,1544,6076.0,62593,136663,126409,10254,2.02,23025,7.503128132705999,16.84801299547061
중랑구,1068,,181448,403776,398812,4964,2.2,64449,1.2293945157711206,15.961572753209701
