날짜,요일,홈,방문,구장,관중수
2017/03/31,금,두산,한화,잠실,21121
2017/03/31,금,삼성,KIA,대구,13505
2017/03/31,금,SK,KT,문학,13649
2017/03/31,금,넥센,LG,고척,8013
2017/03/31,금,NC,롯데,마산,11000
2017/04/01,토,두산,한화,잠실,20636
2017/04/01,토,삼성,KIA,대구,10062
2017/04/01,토,SK,KT,문학,11291
2017/04/01,토,넥센,LG,고척,8889
2017/04/01,토,NC,롯데,마산,9596
2017/04/02,일,두산,한화,잠실,22457
2017/04/02,일,삼성,KIA,대구,14406
2017/04/02,일,SK,KT,문학,10186
2017/04/02,일,넥센,LG,고척,9130
2017/04/02,일,NC,롯데,마산,11000
2017/04/04,화,한화,NC,대전,10597
2017/04/04,화,KT,두산,수원,15804
2017/04/04,화,KIA,SK,광주,18069
2017/04/04,화,LG,삼성,잠실,16411
2017/04/04,화,롯데,넥센,사직,24954
2017/04/06,목,한화,NC,대전,6150
2017/04/06,목,KT,두산,수원,4426
2017/04/06,목,KIA,SK,광주,4211
2017/04/06,목,LG,삼성,잠실,12166
2017/04/06,목,롯데,넥센,사직,3864
2017/04/07,금,KIA,한화,광주,8296
2017/04/07,금,롯데,LG,사직,11191
2017/04/07,금,SK,NC,문학,3492
2017/04/07,금,KT,삼성,수원,5147
2017/04/07,금,두산,넥센,잠실,10027
2017/04/08,토,KIA,한화,광주,19853
2017/04/08,토,롯데,LG,사직,22607
2017/04/08,토,SK,NC,문학,9279
2017/04/08,토,KT,삼성,수원,11031
2017/04/08,토,두산,넥센,잠실,15278
2017/04/09,일,KIA,한화,광주,16614
2017/04/09,일,롯데,LG,사직,20022
2017/04/09,일,SK,NC,문학,10057
2017/04/09,일,KT,삼성,수원,13174
2017/04/09,일,두산,넥센,잠실,13177
2017/04/11,화,삼성,한화,대구,5752
2017/04/11,화,두산,KIA,잠실,14895
2017/04/11,화,넥센,KT,고척,2535
2017/04/11,화,NC,LG,마산,4582
2017/04/11,화,SK,롯데,문학,6745
2017/04/12,수,삼성,한화,대구,6060
2017/04/12,수,두산,KIA,잠실,13649
2017/04/12,수,넥센,KT,고척,3569
2017/04/12,수,NC,LG,마산,4719
2017/04/12,수,SK,롯데,문학,6183
2017/04/13,목,삼성,한화,대구,5446
2017/04/13,목,두산,KIA,잠실,16213
2017/04/13,목,넥센,KT,고척,3802
2017/04/13,목,NC,LG,마산,5134
2017/04/13,목,SK,롯데,문학,5911
2017/04/14,금,LG,KT,잠실,9710
2017/04/14,금,NC,두산,마산,4576
2017/04/14,금,한화,SK,대전,6657
2017/04/14,금,롯데,삼성,사직,12459
2017/04/14,금,KIA,넥센,광주,8098
2017/04/15,토,LG,KT,잠실,17337
2017/04/15,토,NC,두산,마산,7231
2017/04/15,토,한화,SK,대전,13000
2017/04/15,토,롯데,삼성,사직,23997
2017/04/15,토,KIA,넥센,광주,16811
2017/04/16,일,LG,KT,잠실,15224
2017/04/16,일,NC,두산,마산,7069
2017/04/16,일,한화,SK,대전,11090
2017/04/16,일,롯데,삼성,사직,20841
2017/04/16,일,KIA,넥센,광주,13578
2017/04/18,화,KT,KIA,수원,6545
2017/04/18,화,한화,LG,대전,5080
2017/04/18,화,롯데,NC,사직,12252
2017/04/18,화,두산,삼성,잠실,6391
2017/04/18,화,SK,넥센,문학,3244
2017/04/19,수,KT,KIA,수원,10493
2017/04/19,수,한화,LG,대전,7213
2017/04/19,수,롯데,NC,사직,10060
2017/04/19,수,두산,삼성,잠실,8062
2017/04/19,수,SK,넥센,문학,4817
2017/04/20,목,KT,KIA,수원,9222
2017/04/20,목,한화,LG,대전,5572
2017/04/20,목,롯데,NC,사직,8148
2017/04/20,목,두산,삼성,잠실,8509
2017/04/20,목,SK,넥센,문학,4025
2017/04/21,금,KT,한화,수원,10193
2017/04/21,금,LG,KIA,잠실,23263
2017/04/21,금,넥센,롯데,고척,5655
2017/04/21,금,삼성,NC,대구,6951
2017/04/21,금,SK,두산,문학,10071
